,Date and Time,Name,Phone Number,Location,Estimated Number of Victims,Report Details,Category
122,2024-04-02 13:30:35,Oscar Guireno,9134567890,"Riverside Residences, Brgy. Pulo, Cabuyao City, Laguna",2,"heatstroke ata yung dalawa, di nagre-respond, kailangan ng ambulansya",Medical Emergency
123,2024-04-07 17:45:00,Danvell Zamora,9245678901,"Golden Gate Subdivision, Brgy. Niugan, Cabuyao City, Laguna",3,"may nagbubugbugan dito, sugatan na yung iba, kailangan ng medic dito",Medical Emergency
124,2024-04-12 22:00:25,Louis Marquezio,9356789012,"Lavender Lane, Brgy. Marinig, Cabuyao City, Laguna",4,"banggaan ng mga motor, maraming sugatan, kailangan ng first aid",Vehicular Accident
125,2024-01-04 2:15:50,Prim Tarlac,9467890123,"Bluebell Compound, Brgy. Bigaa, Cabuyao City, Laguna",2,"may mga nagsaksakan, sugatan dalawa, daming dugo, need first aid",Medical Emergency
126,2024-01-09 6:30:15,Paul Hantong,9578901234,"San Isidro Square, Brgy. San Isidro, Cabuyao City, Laguna",2,"nahimatay sa plaza, kailangan ng first aid o ambulansya",Medical Emergency
127,2024-01-14 10:45:40,Ariela Maring,9689012345,"The Courtyard, Brgy. Casile, Cabuyao City, Laguna",2,"may mga nahimatay sa init ata, need first aid o ambulansya",Medical Emergency
128,2024-01-19 15:00:05,Albert Arriba,9790123456,"Efas Manor, Brgy. Butong, Cabuyao City, Laguna",10,"may sunog sa bahay ng amo ko. marami pang di nakakalabas, may mga lapnos na balat. ambulansya po pakiusap",Other Emergency
129,2024-01-24 19:15:30,Kin Perez,9801234567,"Block 18 Lot 10 Yi St., Ong Compound, Brgy. Gulod",1,"yung anak ko po, kinukumbulsyon. kailangan po namin maidala sa ospital kaso walang tricycle. naandito po kami sa ong compound, tulong po ambulansya",Medical Emergency
130,2024-01-29 23:30:55,Luigi Nong,9912345678,"Blk 2 Lot 18 San Isidro Heights Subd., San Isidro, Laguna",2,"a motorcycle swerved on the pavement, send help please",Vehicular Accident
131,2024-02-03 3:45:20,Cathrina Eskalya,9156238741,"Along the highway, Brgy. Mamatid, Cabuyao City, Laguna",11,"two jeepneys collided with each other. vehicles are still on the road, send help please",Vehicular Accident
132,2024-03-24 3:09:59,Gilbert Dela Cruz,9167539512,"Along the highway, Brgy. Pulo, Cabuyao City, Laguna",7,"motorcycle swerved and hit a car, rider is visibly unconscious",Vehicular Accident
133,2024-02-20 0:00:00,Jamal Torres,9739145611,"Along the highway, Brgy. Banlic, Cabuyao City, Laguna",2,"a car and truck are on a wreck, car driver has scratches, send help please",Vehicular Accident
134,2024-02-25 4:30:20,Renato Rambutan,9174563984,"Along the highway, Brgy. Gulod, Cabuyao City, Laguna",5,a car swerved and hit a jeepney. both drivers are unresponsive. passengers are responsive but injured. help please,Vehicular Accident
135,2024-03-01 8:00:09,Horian Osmeña,9201456898,"Along the highway, Brgy. Sala, Cabuyao City, Laguna",8,multiple vehicle collision. rider is unresponsive and his passenger is bleeding. jeepney driver and passengers have injuries. car's driver is responsive but bleeding. we need help,Vehicular Accident
136,2024-03-06 12:00:58,Wallace Santiago,9639811120,"Along the highway, Brgy. Poblacion Uno, Cabuyao City, Laguna",3,"truck hit cyclists. two cyclists are responsive but injured, both parties are aguing",Vehicular Accident
137,2024-03-11 16:50:00,Quirino Luna,9174587330,"Block 3 Lot 3 Mariana St., Boom Compound, Brgy. Banlic, Cabuyao City, Laguna",2,House fire! WE'RE TRAPPED. send first responders please!,Other Emergency
138,2024-03-16 20:20:20,Watson Ward,9652356890,"Yule Motel, Brgy. Diezmo, Cabuyao City, Laguna",2,FLASH FLOOD! WE'RE STRANDED HERE ,Other Emergency
139,2024-03-21 0:10:40,Peter Cayamoto,9256936930,"Magnolia Building, Brgy. Sala, Cabuyao City, Laguna",3,"a car was flipped over hitting another car in front of this building, multiple car collision, we need people here",Vehicular Accident
140,2024-03-26 4:00:03,Lenn Misalikha,9836541239,"Nuvena Street, Fong Village, Brgy. Baclaran, Cabuyao City, Laguna",6,"people got trapped in a delapidated house after earthquake, still responsive but send a team here",Other Emergency
141,2024-03-31 8:04:00,Marisol Bumirang,9532323651,"Arcenio Heights Avenue, Brgy. Poblacion Uno, Cabuyao City, Laguna",6,"Fire on 3rd floor, several people are stranded RESCUE PLEASE",Other Emergency
142,2024-04-05 12:00:50,Myrna Oswan,9523151511,"Dos Drive, Brgy. Poblacion Dos, Cabuyao City, Laguna",2,"some people got caught with fireworks, a hut is burning, send help",Other Emergency
143,2024-01-01 0:00:06,June Heneracion,9185656565,"Lopez Terrace, Brgy. Banay-Banay, Cabuyao City, Laguna",1,"5 ft Flood here in lopez, people are trapped",Other Emergency
144,2024-01-06 12:00:00,Ramon Yang,9174141563,"Room 203, Porrain Hotel, Brgy. Banlic, Cabuyao City, Laguna",1,"kinda chemical spill here, strong odor coming from a room here in porrain, send professional team please",Other Emergency
145,2024-01-11 16:00:00,Fritz Karr,9682356896,"Gumamela Avenue, Brgy. Gulod, Cabuyao City, Laguna",2,"multiple car collision, SUPER TRAFFIC send a team here",Vehicular Accident
146,2024-01-16 20:11:37,Marlon Montague,9156329855,"Apartment 308, Tres Tower, Brgy. Poblacion Tres, Cabuyao City, Laguna",1,"power outage and 3 ft flood due to the strong windstorm last night i think, send help here",Other Emergency
147,2024-01-21 0:06:58,Emerson Pi,9789563695,"Sky Gardens, Brgy. Banay-Banay, Cabuyao City, Laguna",2,TORNADO HELP OH MY PLEASE HELP CAN'T MOVE,Other Emergency
148,2024-04-01 10:05:36,Janice Ynarez,9586398231,"7-Eleven, Brgy. Pittland, Cabuyao City, Laguna",1,"car lost its breaks and wrecked another car, hitting the store, driver is responsive",Vehicular Accident
149,2024-04-15 17:08:03,Bingo Binene,9174545876,"Centro Commercial Plaza, Brgy. Gulod, Cabuyao City, Laguna",25,There was an earthquake and there may be people trapped in a building. Send help please,Other Emergency
150,2024-04-16 15:17:03,Ara Ladroma,9159633690,"Along the highway, Brgy. Pulo, Cabuyao City, Laguna",2,"two people are fighting each other, one man, one woman, send first responders",Other Emergency
151,2023-11-11 2:06:12,Victor Wick ,9658765678,"Block 20, Lot 12, Barangay Baclaran, Cabuyao City, Laguna",1,"There is an old lady who collapsed here in front of my House, need ambulance ",Medical Emergency
152,2023-09-11 23:45:25,Mike Vance.,9576325986,"Block 7,Lot 5 Barangay Bigaa, Cabuyao City, Laguna ",1,"Nakaapak ng yero ang aking kapatid, kailangan ng first aid",Medical Emergency
153,2023-10-11 7:02:21,Hannah Galindez ,9745635269,"Along the Highway, Brgy. San Isidro Cabuyao, Laguna",7,"There is collision of 3 different cars, please we need authority help",Vehicular Accident
154,2023-10-23 8:06:41,Joseph Miranda,9563215875,"Plaza , Cabuyao City, Laguna",2,"There is a Brawl Within apartment, please send some help ",Other Emergency
155,2023-11-23 9:26:41,Joseph Martin,9876543219,"Block 20, Lot 12, Barangay Baclaran, Cabuyao City, Laguna",1,"My wife passed out, she have lung cancer, send an ambulance ",Medical Emergency
156,2023-11-29 3:55:22,Apollo Cruz,9254368546,"Along the Highway, Brgy. San Isidro Cabuyao, Laguna",1,Two Tricycle have a collision due to high speed limit ,Vehicular Accident
157,2023-05-04 1:43:57,Bea Dimapillis,9632587412,"Block 20, Lot 12, Barangay Poblacion I, Cabuyao City, Laguna",5,"There is a fire next door, please send some help, there are people there ",Other Emergency
158,2023-11-15 5:25:45,Yance Ventura ,9531268745,"Block 14, Lot 10, Barangay Baclaran, Cabuyao City, Laguna",2,"There is Brawl outside my house, some teenagers trowing some rock to each other, please send some authority, there is a man on the ground. ",Other Emergency
159,2023-11-18 5:55:21,Cole Garcia ,9632887541,"Block 12, Lot 10, Barangay Baclaran, Cabuyao City, Laguna",2,"There is a brawl outside our house, some teenagers trowing rocks, the have been reported by my neighbour recently and there they are again.",Other Emergency
160,2023-01-29 2:04:45,Patrick Morandarte,9874526586,"Block 23, Lot 8, Barangay Pulo, Cabuyao City, Laguna",2,"My wife accidentally cut her finger, I need Some Ambulance ",Medical Emergency
161,2023-10-25 7:55:00,Bernadette Odo,9826542542,"Block 30, Lot 7, Barangay Pulo, Cabuyao City, Laguna",1,"My Brother step on rusty nails, He is in deep pain, please send some ambulance ",Medical Emergency
162,2023-06-24 5:55:58,Resty Garcia ,9553584565,"Along the highway, Brgy. Poblacion lll, Cabuyao City, Laguna",2,"There is an accident here, a SUV driven into the sidewalk and ran into the electric post",Vehicular Accident
163,2023-11-01 22:25:53,Kyle Patrick Falla,9635585268,"Barangay Banlic, Cabuyao City, Laguna",1,"A man throw a bottle in a women's head, the girl is unconscious, please send some ambulance ",Medical Emergency
164,2023-12-01 8:55:23,John Ruel Sanchez ,9863542685,"Block 30, Lot 10, Barangay Banlic, Cabuyao City, Laguna",1,"My son cut his private part, please send an ambulance ASAP ",Medical Emergency
165,2023-08-26 8:16:39,Tisha Vergara,9765432186,"Along the highway, Brgy. Marinig, Cabuyao City, Laguna",1,"There is collision between jeep and e-bike, please send some help for the e-bike driver ",Vehicular Accident
166,2023-12-31 23:59:40,Mary Jane ,9871533845,"Along the highway, Brgy. Pulo, Cabuyao City, Laguna",1,May nabanggaan na nga sasakyan Dito nagcacause na ng traffic ,Vehicular Accident
167,2023-10-10 10:10:10,Billy Lopez,9865384565,"Barangay Pulo, Cabuyao City, Laguna",1,"May Sinaksak dito na lalaki, duguan na at kailangan ng ambulance ",Medical Emergency
168,2023-11-11 11:11:11,Juan Dela Cruz,9856354386,"Along the highway, Brgy. Bigaa, Cabuyao City, Laguna",5,"May nagbanggaan na kotse rito, yung babae bali ang paa. ",Vehicular Accident
169,2023-09-11 9:11:45,Aldon Opriasa,9853246525,"Phase 2, Villa Palao Subdivision, Barangay Marinig, Cabuyao City, Laguna",1,"May binaril dito sa amin, kailangan ng ambulance ",Medical Emergency
170,2023-03-24 20:45:51,Erica Gundran,9874638156,"Barangay Butong, Cabuyao City, Laguna",2,May nakikita kaming usok Dito baka sunog na yun ,Other Emergency
171,2023-07-22 2:05:50,Dominic Rodriguez ,9525655555,"Along the highway, Brgy. Gulod, Cabuyao City, Laguna",1,"There is a collisions of 6 cars here, nawalan ng preno yung nasa unahan at nag banggaan na lahat. May mga batang din",Vehicular Accident
172,2023-03-22 6:05:41,Louie James ,9516545555,"Barangay Sala, Cabuyao City, Laguna",1,May gas leak Dito sa may kalye namin nahihirapan na huminga yung mga tao,Other Emergency
173,2023-11-12 8:45:00,Mia Pearl ,9542555554,"Phase 2, Villa Palao Subdivision, Barangay Marinig, Cabuyao City, Laguna",1,"Nahimatay at nadugo ang ilong ng tropa ko, tinamaan ko kase ng bola nv volleyball, kailangan namin ng first aid",Medical Emergency
174,2023-08-12 7:25:55,Liera Corpuz,9545654566,"Along the highway, Brgy. Niugan, Cabuyao City, Laguna",1,"May nabanggang bata dito, nahinga pa siya pero duguan, kailangan ng medic ",Medical Emergency
175,2023-02-02 2:02:02,Charissa Canlaz,9952555554,"Barangay Casile, Cabuyao City, Laguna",1,Nadulas sa banyo ang asawa ko! Kailangan ko ng ambulansya,Medical Emergency
176,2023-12-12 12:12:12,Dhanna Cortez,9885635555,"Block 20, Lot 3, Mamatid, Cabuyao City, Laguna",1,"Na kuryente ang aking anak, kailangan ko ng medic ",Medical Emergency
177,2023-10-14 12:15:55,Nolan Gadon,9222654599,"Barangay Sala, Cabuyao City, Laguna",1,"Natisod yung trupa ko dahil sa hindi niya nakitang bato sa gilid, wala siyang malay at na dugo ang ulo, kailangan ng ambulansya",Medical Emergency
178,2023-12-20 8:05:46,Frederick marcos ,9588236555,"Barangay Gulod, Cabuyao City, Laguna",1,"Tinamaan ng kidlat ang kapatid ko, wala syang malay, kailangan na namin ng tulong ",Other Emergency
179,2023-10-15 23:11:11,Hero Robredo,9955352244,"Barangay Pulo, Cabuyao City, Laguna",2,"May riot dito ang dami na sugatan, mag padala kayo ng ambulansya",Medical Emergency
180,2023-09-25 3:25:55,Earl Cortez ,9855425459,"Along the highway, Brgy. Poblacion ll, Cabuyao City, Laguna",2,"May nag banggaan dito,please send some help",Vehicular Accident
181,2023-07-12 8:05:23,Patricia Dela Cruz ,9223455655,"Block 32, Lot 11, Niugan, Cabuyao City, Laguna",1,"Nalunod tropa ko, na cpr ko na pero need pa rin niya ng tulong ",Other Emergency
182,2023-01-30 5:55:55,Jane DeLeon,9524466354,"Barangay Butong, Cabuyao City, Laguna",2,Kinagat ng aso ang dalawa kong anak! Kailangan ko ng ambulansya,Medical Emergency
183,2023-11-08 8:05:00,Kim chi ,9655645665,"Barangay Butong, Cabuyao City, Laguna",1,"Nadulas yung matandang babae dito sa talipapa, kailangan ng ambulance ",Medical Emergency
184,2023-08-29 9:05:00,Caroline Jose,9526545666,"Block 11, Lot 11, Barangay Banay-Banay, Cabuyao City, Laguna",1,"May burn injury ang anak ko, hindi ko alam ang treatment, please send some first aid",Medical Emergency
185,2023-07-06 3:05:00,Damian Tolopia ,9555668445,"Barangay Sala, Cabuyao City, Laguna",1,"Nahulugan siya ng martilyo sa construction site, kailangan namin ng tulong ",Other Emergency
186,2023-10-17 6:37:00,Bella Madrid ,9853446354,"Block 27, Lot 13, Brgy. Sala, Cabuyao City, Laguna",3,"Ilang bata ang nag susuka dito, na food poison ata, kailangan namin ng tulong ",Other Emergency
187,2023-04-11 7:05:00,Jean Parakikay,9544266536,"Along the highway, Brgy. Poblacion ll, Cabuyao City, Laguna",1,"May nag skateboard dito, sumemplang! Walang malay sa kalsada, kailangan ng tulong ",Medical Emergency
188,2023-07-11 8:40:00,Paola Bariring,9544354445,"Along the highway, Brgy. Sala, Cabuyao City, Laguna",4,Bungga sa karinderya yung kotse,Vehicular Accident
189,2023-09-13 21:26:00,Cassy Mondragon,9544536542,"Barangay Mamatid, Cabuyao City, Laguna",1,"Nahulog sa hagdan ang aking asawa, wala siyang malay kailangan ko ng tulong ",Other Emergency
190,2023-10-11 9:05:00,Abigael Veronica,9542387456,"Blk 35, Lot 9, Gulod, Cabuyao City, Laguna",1,"Nabagsakang ng barbell yung na gi gym dito, mag padala kayo ng help",Other Emergency
191,2023-10-18 8:50:00,Francine Alcantara,9844233554,"Barangay Sala, Cabuyao City, Laguna",2,"May suntukan dito, parahas silang nawalan ng malay ",Other Emergency
192,2023-07-12 8:43:00,Kyline Geronimo,9655555655,"Block 10, Lot 1, Barangay Banay-Banay, Cabuyao City, Laguna",1,"There is a unconscious lady lying on the floor, need some medic ",Medical Emergency
193,2023-05-17 9:22:00,Mike Dee,9855345446,"Along the highway, Brgy. Banay-Banay, Cabuyao City, Laguna",4,"There is collision of 2 cars, some of them are , please send some help",Vehicular Accident
194,2023-11-14 8:05:00,Peter Magallona,9853242366,"Barangay Banay-Banay, Cabuyao City, Laguna",1,"There is a Gunshot here, somebody is bleeding, send some ambulance for the girl ",Medical Emergency
195,2023-07-19 8:40:00,Eunice Vergara,9544538556,"Barangay Niugan, Cabuyao City, Laguna",1,"Please send an ambulance, but not for me. I fought someone, I punch him and now he is unconscious. ",Medical Emergency
196,2023-08-16 8:41:00,Jose Manalo,9854668556,"Barangay Sala, Cabuyao City, Laguna",1,"May batang sugatan dito dahil sa hindi malamang dahilan, she's unconscious pero nahinga pa, please send some ambulance ASAP ",Medical Emergency
197,2023-07-28 7:05:45,Jennifer Mendoza,9845644552,"Barangay Gulod, Cabuyao City, Laguna",1,"May nahimatay dito kaka sayaw nang sayaw, send some ambulance ",Medical Emergency
198,2023-08-16 8:24:00,Harry Cortez,9842664423,"Blk 14, Lot 6, Brgy. Pulo, Cabuyao City, Laguna",1,"May tumalon dito mula second floor, mukhang pilay na sya, need some medical assistance ",Medical Emergency
199,2023-11-13 8:30:00,Gary Ayson ,9842336544,"Barangay Niugan, Cabuyao City, Laguna",1,"May babaeng sinaksak dito, send some ambulance ",Medical Emergency
200,2023-06-13 4:25:00,Derrick Rodriguez ,9544236544,"Block 20, Lot 3, Mamatid, Cabuyao City, Laguna",5,"There is a brawl here, s Please send some tanod",Other Emergency
201,2023-09-27 5:30:00,Cyrus Magsino ,9544236844,"Block 25, Lot 5, Barangay Banlic, Cabuyao City, Laguna",2,"There is an unconscious men here, Please send some help ",Other Emergency
202,2023-11-24 9:35:00,Charles Basila,9844339555,"Block 27, Lot 13, Brgy. Sala, Cabuyao City, Laguna",1,Our car is damage right now due to over speeding of the other vehicle ,Vehicular Accident
203,2023-11-20 8:27:00,Benedict Bayot ,9842588556,"Along the highway, Brgy. Bigaa, Cabuyao City, Laguna",1,There is a e-bike that hit our food stands,Vehicular Accident
204,2023-08-23 7:35:00,Vince Mag-isa,9542555565,"Block 38, Lot 21, Butong, Cabuyao City, Laguna",2,"There are some gunshot here, please send some help ",Other Emergency
205,2023-11-17 9:42:00,Carlo Garcia ,9853654122,"Block 24, Lot 14, Mamatid, Cabuyao City, Laguna ",1,May gumuho Dito sa parte ng Bahay namin kinakabahan kami baka lumalala. Pahingi tulong para matignan ,Other Emergency
206,2023-08-24 4:49:00,Yna Pecayo ,9844236556,"Blk 8, Lot 18, Brgy. Gulod, Cabuyao City, Laguna",1,"May batang kinagat ng aso dito, mukhang malala na. Need ng first aid",Medical Emergency
207,2023-06-21 8:40:00,Kristine Hernandez,9541266545,"Blk 30, Lot 10, Brgy. Marinig, Cabuyao City, Laguna",1,"May nadulas dahil sa ulan, wala siyang malay. Padala kayo ng tulong ",Medical Emergency
208,2023-09-21 4:25:00,Icelle Icidera,9456345566,"Barangay Niugan, Cabuyao City, Laguna",2,"May suntukan dito, marami sila at may mga sugatan na",Medical Emergency
209,2023-08-25 5:05:00,Marlon Bagwisa,9456544665,"Along the highway, Brgy. Banlic, Cabuyao City, Laguna",1,May motorcycle na nawalan ng preno at nabagok.,Vehicular Accident
210,2023-11-20 8:05:00,Rick Sanchez ,9554266663,"Barangay Sala, Cabuyao City, Laguna",1,"May lasing dito at pinukpok sa ulo ang bata ng bote, send help please ",Medical Emergency
211,2023-07-12 4:05:00,Jhoanna Christine Robles,9957873292,"Along the Highway Bigaa Rd Cabuyao, Calabarzon",3,May nagbanggaan Dito. Kailangan ng tulong,Vehicular Accident
212,2023-03-14 5:22:00,Maraiah Queen Arceta,9164873821,"Along the Highway Bigaa Rd Cabuyao, Calabarzon",1,May nahimatay na babae matanda,Medical Emergency
213,2023-07-22 4:25:00,Ma. Nicolette Vergara,9876472341,Bigaa Elementary School,1,May nabanggang naka bicycle ng motor sa labas ng school,Vehicular Accident
214,2023-08-25 6:33:00,Mary Loi Yves Ricalde,9864573428,"Diezmo, Cabuyao",2,"May nawalan ng preno na kotse, bumangga sa guard house",Vehicular Accident
215,2023-10-20 5:28:00,Gweneth L. Apuli,9347628394,"Along the HighwaySouthville Rd Cauyao,Laguna",1,"May nabangga na lalaki ,sugatan at walang malay",Medical Emergency
216,2023-09-22 4:44:00,Stacey Aubrey Sevilleja,9123456781,"Cagayan St Cabuyao, Calabarzon",2,"May nasusunog na bahay,May dalawang nakatira doon",Other Emergency
217,2023-11-18 4:05:00,Mikhaela Janna Lim,9846283756,Phase 1 Mabuhay City Cabuyao Laguna,1,May nabanggang pedicab,Vehicular Accident
218,2023-06-23 5:35:00,Sheena Mae Catacutan,9127658374,"Pulo-Diezmo Road Cabuayo,Laguna",1,"May nahulog sa kanal ,sugatan bata",Medical Emergency
219,2023-07-22 4:41:00,Raven Espinelli,9385739845,Phase 1 Mabuhay City Cabuyao Laguna,1,Nasagasaan yung paa ng kotsee,Medical Emergency
220,2023-07-21 0:29:00,Angelina Marasigan,9823456728,Phase 1 Mabuhay City Cabuyao Laguna,2,Sumalpok yung motor sa kotse overtake ng overtake daw kasi yung motor,Vehicular Accident
221,2023-06-24 5:30:00,Dareylle Aquino,9234651745,"Southville 1, Niugan, City of Cabuyao, Laguna",1,Nagkaroon ng bungguan dito lasing yung isang driver,Vehicular Accident
222,2023-08-26 3:45:00,Maria Theresa Sanchez,9123443257,"St. Joseph Village 7, Phase 1 Blk 20 Lot 18, Marinig, Cabuyao, Laguna",1,May truck overspeeding nabunggo yung isang petshop,Vehicular Accident
223,2023-06-24 5:30:00,Quaquin Bordado,9121223567,Villa Adelina II Cabuyao Laguna,2,"Sumabog rice cooker namin, need ng medic, hindi makahinga yung anak ko",Medical Emergency
224,2023-06-24 6:30:00,Jessica Santos,9222647283,"Utopia Subdivision, Brgy. Pittland, Cabuyao City, Laguna",1,"Nahulog sa bubong asawa ko, walang malay",Medical Emergency
225,2023-07-22 5:25:00,Gerald Lim,9217485932,"St. Joseph Homes 1, B11 L67 Cabuyao,Laguna",1,"Lasing yung lalaki hinampas yung bata, kailangan ng ambulance",Medical Emergency
226,2023-09-22 0:22:00,Kimberly Dinawanao,9467812356,Hong Kong Village Basket Ball Court,1,"Nabali paa ng tropa namin, kailangan ng first aid",Medical Emergency
227,2023-11-24 7:05:00,Mark Garcia,9237816546,"Southville 1, Niugan, City of Cabuyao, Laguna",3,may Sunog sa kapit bahay,Other Emergency
228,2023-11-22 5:49:00,Henry Sy,9562387465,"Southville 1, Niugan, City of Cabuyao, Laguna",2,may sunog sa bahay namin,Other Emergency
229,2023-07-30 5:50:00,Patrick Sanchez,9184763876,"San Isidro Heights Subdivision Cabuyao, Laguna",1,may babaeng natumba nalang bigla dito,Medical Emergency
230,2023-08-12 0:27:00,Marc Canicon,9286374851,"San Isidro Heights Subdivision Cabuyao, Laguna",2,"yung anak kong babae, Hindi nagising meron siyang Cancer",Medical Emergency
231,2023-10-27 12:55:00,Leandro Cabuyao,9287146783,"St. Joseph Village 8 Cabuyao, Laguna",1,May lalaki dito nakahandusay sa labas ng bahay ko,Medical Emergency
232,2023-12-31 23:59:59,Josh Emmanuel Florita,9813468263,blk 32 lot 34 Southville 1 Nuigan Cabuyao City,1,"Fireworks pops in his hand, need first aid",Medical Emergency
233,2023-07-12 6:05:00,Jullianna Daplas,9812354367,"St. Joseph Homes 1, B11 L67 Cabuyao,Laguna",2,"May mga nag susuntukan dito, kawawa na yung isang kasuntukan",Other Emergency
234,2023-07-22 6:05:00,Charina Canlas,9813756478,"St. Joseph Village 7, Phase 1 Blk 30 Lot 10, Marinig, Cabuyao, Laguna",3,We have a fire in our house,Other Emergency
235,2023-05-11 11:43:00,Carl Salubre,9845673824,"St. Joseph Homes 1, B11 L67 Cabuyao,Laguna",4,There is 2 e-bike collision in our street. We need help,Vehicular Accident
236,2023-11-23 6:23:00,Kyle Mirabueno,9452637451,"Block 23 Lot 5 Emerald Subd., Brgy. Bigaa, Cabuyao City, Laguna",1,"There is a crazy person hitting people, The other guy is unconsioused",Medical Emergency
237,2023-05-28 10:23:00,Kenneth Magsino,9234567183,"St. Joseph Homes 1, B11 L67 Cabuyao, Laguna",1,"Ive experinced heavy dizzyness I think I might passed out, need ambulance",Medical Emergency
238,2023-07-29 6:35:00,Eubert Usana,9482736173,"ST JOSEPH 6 GAZEEBO PHASE 2 Cabuyao City, Laguna",3,"There is a hostage taking here ,I need police for help ",Other Emergency
239,2023-06-24 7:50:00,Criselle Dumalo,9546646466,blk 20 lot 37 Southville 1 Nuigan Cabuyao City,1,"My is daughter unconscious , I don’t know why",Medical Emergency
240,2023-03-26 10:45:00,Ryka Noche,9835737375,"Buena Dios Village, Brgy. Poblacion Tres, Cabuyao City, Laguna",1,"My son fell in the stairs and unconsious , need ambulance",Medical Emergency
241,2023-11-16 6:35:00,Jake Sumawang,9877777777,"Bella Solana Subdivision Phase 4 Cabuyao, Laguna",2,"My house is on fire,need help from the fire station ",Other Emergency
242,2023-11-06 4:24:00,Paul Buena,91141111111,"Milwood Ville Subdivision Cabuyao,Laguna",1,"I cant breathe , Im in the house alone, I cant go outside anymore",Medical Emergency
243,2023-08-26 10:24:00,Bryan Dimailig,9343434535,"Zone 78, Brgy. Banlic, Cabuyao City, Laguna",1,My son has been hit by an e-bike,Medical Emergency
244,2023-06-08 5:49:00,James Fenequito,9434434333,"Zone 78, Brgy. Banlic, Cabuyao City, Laguna",4,"There is a grass fire here near my house, We cant breath",Other Emergency
245,2023-07-04 8:05:00,Mark Jones Lopez,9438384838,"Buena Dios Village, Brgy. Poblacion Tres, Cabuyao City, Laguna",2,My house is on fire,Other Emergency
246,2023-07-14 6:20:00,Jonas Perdigon,9832647462,Villa Adelina II Cabuyao Laguna,1,"My son is unconsious , need medical assistance",Medical Emergency
247,2023-08-20 11:23:00,Hance Miranda,9823465738,San Isidro Heights Subdivision,1,"My daughter is unconsious , need medical assistanc",Medical Emergency
248,2023-11-10 11:05:20,Lance Jose,9473728475,"Along the highway Marinig Cabuyao,Laguna",10,Nagkabanggaan yung dalawang jeep ,Vehicular Accident
249,2023-06-20 8:05:56,Michelle Ladroma,9222222222,"Utopia Subdivision, Brgy. Pittland, Cabuyao City, Laguna",4,There is a collision of 2 cars,Vehicular Accident
250,2023-10-26 3:45:26,Karen Pulido,9345567821,"Utopia Subdivision, Brgy. Pittland, Cabuyao City, Laguna",7,There is a collision of 3 cars,Vehicular Accident
251,2023-11-23 6:35:00,Hannah Santos ,9262747272,"St. Joseph Village 8 Cabuyao, Laguna",4,"May Riot dito, ang daming sugatan please send some medical assistantance",Medical Emergency
252,2023-11-20 8:05:00,Kaye Alcantara,9434386463,"Barangay Niugan, Cabuyao City, Laguna",2,"May marites na nagsabunutan, yung isa wala nang malay, yung isa malala na mag dudugo",Medical Emergency
253,2023-11-30 6:33:00,Nicole Karunungan,9534346464,"Barangay Niugan, Cabuyao City, Laguna",1,"Sinaksak tong babaeng to kase may dugo sa tagiliran, nahinga pasya. Binalutan ko na ng damit yung tagiliran niya pero kailangan niya ng medical assistance. Please send some ambulance ASAP!! ",Medical Emergency
254,2023-12-21 6:35:00,Jessica Sanchez ,9534346444,"Nuvena Street, Fong Village, Brgy. Baclaran, Cabuyao City, Laguna",1,"May nadulas dito sa palengke, kailangan namin ng tulong kase nawalan siya ng malay. ",Medical Emergency
255,2023-11-15 5:38:00,Lea Garcia ,9564346464,"Barangay Niugan, Cabuyao City, Laguna",3,there is a collision of a car and a truck here,Vehicular Accident
256,2023-11-29 7:37:00,Mike Bautista,9468334644,"Barangay Niugan, Cabuyao City, Laguna",2,"May mga lalaking naka maskara at binaril ang dalawang lalaki. Walang malay ang isa, yung isa duguan. Kailangan namin ng ambulance ",Medical Emergency
257,2023-11-28 6:35:00,Jobert Binene,9564646464,"St. Joseph Village 7 Cabuyao, Laguna",1,"May batang kinagat ng ahas, kailangan ko ng ambulansya ASAP ",Medical Emergency
258,2023-09-20 7:36:00,Blake Advincula,9564346464,"Along the Highway Bigaa Rd Cabuyao, Calabarzon",5,"May banggaan dito, madaming sasakyan ang nadamay",Vehicular Accident
259,2023-11-22 8:47:00,Levy Cruz,9464243454,"Along the Highway, Brgy. San Isidro Cabuyao, Laguna",1,"May nabanggang motor, kailangan ng pulis",Vehicular Accident
260,2023-12-25 8:15:42,Mateo Cruz,9289901222,"Block 3 Lot 5 Villa Rosa Subd., Brgy. Banlic, Cabuyao City, Laguna",2,May gas leak sa kapitbahay May mga tao na nahihirapang huminga at nahihilo.,Other Emergency
261,2024-01-07 17:30:20,Sofia Santos,9390012333,"Block 2 Lot 3 Acacia St., Brgy. Pittland, Cabuyao City, Laguna",1,Yung lola nahulog sa hagdanan sa bahay! Masakit ang likod at hindi makagalaw.,Medical Emergency
262,2024-02-14 9:40:55,Miguel Reyes,9501123444,"Brgy. Gulod, Cabuyao City, Laguna",3,May nangyaring panloloob may mga dalang patalim,Other Emergency
263,2024-03-20 16:25:30,Isabella Garcia,9612234555,"Block 7 Lot 2 Jasmine St., Brgy. Banay-banay, Cabuyao City, Laguna",2,"Gumuho ang gusali dahil sa lindol! May dalawang taong naipit sa mga guho, kailangan ng agarang tulong. Padala ng search and rescue team",Other Emergency
